ID,Purpose,Area,Genre,Sub-genre,Subject,Keywords,Collection,Type,Title,Sub-title,Translated-title,PALM code,Related (same),Related (omnibus),Related (support),Year,Author,Other creator1,Other creator1 ROLE,Other creator2,Other creator2 ROLE,Other creator3,Other creator3 ROLE,Illustrator,Publisher,Contributor / Project / Partner,Pages,Language 1,ISO (Language 1),Language 2,ISO (Language 2),Island,State,Learner level,VLA standard,VLA benchmark,TOC,Notes related to the issue.,Notes related to version.,Notes related to content.,DESCRIPTION,ABSTRACT,LEVEL,DOCUMENT FILENAME,THUMBNAIL FILENAME,DIGITAL SOURCE (WHERE IS THE PDF FROM),ALTERNATIVE DOCUMENT FILENAME,ALTERNATIVE THUMBNAIL FILENAME,ALTERNATIVE DIGITAL SOURCE (WHERE IS THE PDF FROM),Uploaded audio,Uploaded video,External video link,External web page link,CONTACT,Library UH link,Library UH comment,Library COM link,Library COM comment,Library UOG link,Library UOG comment,Library MICSEM link,Library MICSEM comment,OLLC number,ISBN number,COM call number
1311,Knowledge expansion,Language arts and culture,Periodicals,Newsletters,Historic preservation,,Nahlikend en Leng,Newsletter,Nahlikend en Leng Vol 4 No 1,Spring 1997,,,,,,1997,Pohnpei HP & CA,,,,,,,,Pohnpei State Department of Land and Natural Resources,"Division of Historic Preservation, Museums, and Cultural Affairs",6,English,eng,Pohnpeian,pon,,Pohnpei State,,,,,,,,"Nahlikend en Leng is the quarterly newsletter of the Pohnpei State Department of Land, HP&CA division, published from 1993 until 1997.",,Y,Nahlikend en Leng Vol 4 No 1 - Spring1997,Nahlikend en Leng Vol 4 No 1 - Spring1997,PDF downloaded by iREi (2025) from UH Scholar Space (https://hdl.handle.net/10524/4722).,,,,,,,,,,,,,,,,,,,
1312,Literacy development,Language arts and culture,Narrative readers,Developing and fluent readers,Everyday stories,,National Language & Culture Institute (NLCI) readers,Narrative reader,Ehpwa,,[Story about Ehpwa in Hawaii],,,,,2004,"Olter, Dwight","Andreas, Robert",Edited by,"Edgar, Cynthia",Translated by,"Sohl, Damian G.",Program director,,College of Micronesia – FSM,The National Language and Culture Institute,3,Pohnpeian,pon,,,Pohnpei,Pohnpei State,G5,,,,,,Narrative reader created by the National Language and Culture Institute at the College of Micronesia.,This title is part of the series of early readers educational resources produced around 2002–2004 by the National Language and Culture Institute at the College of Micronesia.,,Y,NLCI - Pohnpeian - Ehpwa - [level 5],NLCI - Pohnpeian - Ehpwa - [level 5],"PDF created by iREi (2025). Digitized from a hard copy courtesy of the COM-FSM Library, with special thanks to librarian Bruce E. Robert. DSLR-based scanning conducted by Danko Taboroši in Pohnpei from 2015 to 2019.",,,,,,,,,,,,,,,,,,,
1313,Literacy development,Language arts and culture,Narrative readers,Developing and fluent readers,Everyday stories,,National Language & Culture Institute (NLCI) readers,Narrative reader,Epwel Sapahrek,,[Helping each other],,,,,2002,"Primo, Yumi","Andreas, Robert",Edited by,,,"Sohl, Damian G.",Program director,,College of Micronesia – FSM,The National Language and Culture Institute,2,Pohnpeian,pon,,,Pohnpei,Pohnpei State,G4,,,,,,Narrative reader created by the National Language and Culture Institute at the College of Micronesia.,This title is part of the series of early readers educational resources produced around 2002–2004 by the National Language and Culture Institute at the College of Micronesia.,,Y,NLCI - Pohnpeian - Epwel Sapahrek - [level 4],NLCI - Pohnpeian - Epwel Sapahrek - [level 4],"PDF created by iREi (2025). Digitized from a hard copy courtesy of the COM-FSM Library, with special thanks to librarian Bruce E. Robert. DSLR-based scanning conducted by Danko Taboroši in Pohnpei from 2015 to 2019.",,,,,,,,,,,,,,,,,,,
1314,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Everyday stories,,National Language & Culture Institute (NLCI) readers,Narrative reader,Ihmw ieu met,,[This is a home],,,,,2002,"Nabuw, Gloria","Andreas, Robert",Edited by,,,"Sohl, Damian G.",Program director,,College of Micronesia – FSM,The National Language and Culture Institute,2,Pohnpeian,pon,,,Pohnpei,Pohnpei State,G1,,,,,,Narrative reader created by the National Language and Culture Institute at the College of Micronesia.,This title is part of the series of early readers educational resources produced around 2002–2004 by the National Language and Culture Institute at the College of Micronesia.,,N,,,,,,,,,,,,,,http://library.comfsm.fm/webopac/titleinfo?k1=1545997&k2=138787,,,,,,,,
1315,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Everyday stories,,National Language & Culture Institute (NLCI) readers,Narrative reader,Imwei ihmw,,[My home],,,,,2004,"Welsin, Mavric","Andreas, Robert",Edited by,"Nabuw, Gloria",Layout by,"Sohl, Damian G.",Program director,"Orlando, Juda",College of Micronesia – FSM,The National Language and Culture Institute,10,Pohnpeian,pon,,,Pohnpei,Pohnpei State,G2,,,,,,Narrative reader created by the National Language and Culture Institute at the College of Micronesia.,This title is part of the series of early readers educational resources produced around 2002–2004 by the National Language and Culture Institute at the College of Micronesia.,,Y,NLCI - Pohnpeian - Imwei Ihmw - [level 1],NLCI - Pohnpeian - Imwei Ihmw - [level 1],"PDF created by iREi (2025). Digitized from a hard copy courtesy of the COM-FSM Library, with special thanks to librarian Bruce E. Robert. DSLR-based scanning conducted by Danko Taboroši in Pohnpei from 2015 to 2019.",,,,,,,,,,,,,,,,,,,
1316,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Everyday stories,,National Language & Culture Institute (NLCI) readers,Narrative reader,Imwei met,,[My house],,,,,2002,"Nabuw, Gloria","Andreas, Robert",Edited by,"Edgar, Cynthia",Translated by,"Sohl, Damian G.",Program director,,College of Micronesia – FSM,The National Language and Culture Institute,4,Pohnpeian,pon,,,Pohnpei,Pohnpei State,G1,,,,,,Narrative reader created by the National Language and Culture Institute at the College of Micronesia.,This title is part of the series of early readers educational resources produced around 2002–2004 by the National Language and Culture Institute at the College of Micronesia.,,Y,NLCI - Pohnpeian - Imwei Met - [level 1],NLCI - Pohnpeian - Imwei Met - [level 1],"PDF created by iREi (2025). Digitized from a hard copy courtesy of the COM-FSM Library, with special thanks to librarian Bruce E. Robert. DSLR-based scanning conducted by Danko Taboroši in Pohnpei from 2015 to 2019.",,,,,,,,,,,,,,,,,,,
1317,Literacy development,Language arts and culture,Narrative readers,Developing and fluent readers,Animal stories,,National Language & Culture Institute (NLCI) readers,Narrative reader,Ina oh Wehi men,,[Ina and a turtle],,,,,2004,"Donre, Henry","Andreas, Robert",Edited by,,,"Sohl, Damian G.",Program director,,College of Micronesia – FSM,The National Language and Culture Institute,4,Pohnpeian,pon,,,Pohnpei,Pohnpei State,G5,,,,,,Narrative reader created by the National Language and Culture Institute at the College of Micronesia.,This title is part of the series of early readers educational resources produced around 2002–2004 by the National Language and Culture Institute at the College of Micronesia.,,Y,NLCI - Pohnpeian - Ina oh Wehi men - [level 5],NLCI - Pohnpeian - Ina oh Wehi men - [level 5],"PDF created by iREi (2025). Digitized from a hard copy courtesy of the COM-FSM Library, with special thanks to librarian Bruce E. Robert. DSLR-based scanning conducted by Danko Taboroši in Pohnpei from 2015 to 2019.",,,,,,,,,,,http://library.comfsm.fm/webopac/titleinfo?k1=1008677&k2=138776,,,,,,,,
1318,Literacy development,Language arts and culture,Narrative readers,Developing and fluent readers,Animal stories,,National Language & Culture Institute (NLCI) readers,Narrative reader,Kaht emen met,,[This is a cat],,,,,2002,"Nabuw, Gloria","Andreas, Robert",Edited by,"Edgar, Cynthia",Translated by,"Sohl, Damian G.",Program director,,College of Micronesia – FSM,The National Language and Culture Institute,8,Pohnpeian,pon,,,Pohnpei,Pohnpei State,G5,,,,,,Narrative reader created by the National Language and Culture Institute at the College of Micronesia.,This title is part of the series of early readers educational resources produced around 2002–2004 by the National Language and Culture Institute at the College of Micronesia.,,Y,NLCI - Pohnpeian - Kaht Emen Met - [level 1],NLCI - Pohnpeian - Kaht Emen Met - [level 1],"PDF created by iREi (2025). Digitized from a hard copy courtesy of the COM-FSM Library, with special thanks to librarian Bruce E. Robert. DSLR-based scanning conducted by Danko Taboroši in Pohnpei from 2015 to 2019.",,,,,,,,,,,,,,,,,,,
1319,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,National Language & Culture Institute (NLCI) readers,Narrative reader,Kaht oh Kewelik,,[A cat and an egret],,,,,2004,"Ladore, Merly","Andreas, Robert",Edited by,"Nabuw, Gloria",Layout by,"Sohl, Damian G.",Program director,"Orlando, Juda",College of Micronesia – FSM,The National Language and Culture Institute,4,Pohnpeian,pon,,,Pohnpei,Pohnpei State,G2,,,,,,Narrative reader created by the National Language and Culture Institute at the College of Micronesia.,This title is part of the series of early readers educational resources produced around 2002–2004 by the National Language and Culture Institute at the College of Micronesia.,,Y,NLCI - Pohnpeian - Kaht oh Kewelik - [level 5],NLCI - Pohnpeian - Kaht oh Kewelik - [level 5],"PDF created by iREi (2025). Digitized from a hard copy courtesy of the COM-FSM Library, with special thanks to librarian Bruce E. Robert. DSLR-based scanning conducted by Danko Taboroši in Pohnpei from 2015 to 2019.",,,,,,,,,,,,,,,,,,,
1320,Literacy development,Language arts and culture,Narrative readers,Developing and fluent readers,Animal stories,,National Language & Culture Institute (NLCI) readers,Narrative reader,Kaht pweipwei oh owenmwenge men,,[A foolish hungry cat],,,,,2002,"Nabuw, Gloria","Andreas, Robert",Edited by,"Edgar, Cynthia",Translated by,"Sohl, Damian G.",Program director,,College of Micronesia – FSM,The National Language and Culture Institute,4,Pohnpeian,pon,,,Pohnpei,Pohnpei State,G4,,,,,,Narrative reader created by the National Language and Culture Institute at the College of Micronesia.,This title is part of the series of early readers educational resources produced around 2002–2004 by the National Language and Culture Institute at the College of Micronesia.,,Y,NLCI - Pohnpeian - Kaht Pweipwei oh Owenmwenge Men - [level 4],NLCI - Pohnpeian - Kaht Pweipwei oh Owenmwenge Men - [level 4],"PDF created by iREi (2025). Digitized from a hard copy courtesy of the COM-FSM Library, with special thanks to librarian Bruce E. Robert. DSLR-based scanning conducted by Danko Taboroši in Pohnpei from 2015 to 2019.",,,,,,,,,,,,,,,,,,,
1321,Literacy development,Language arts and culture,Narrative readers,Developing and fluent readers,Everyday stories,,National Language & Culture Institute (NLCI) readers,Narrative reader,Kedehr kin pwang,,[Don’t be lazy],,,,,2002,"Thozes, Kathreen","Andreas, Robert",Edited by,,,"Sohl, Damian G.",Program director,,College of Micronesia – FSM,The National Language and Culture Institute,4,Pohnpeian,pon,,,Pohnpei,Pohnpei State,G4,,,,,,Narrative reader created by the National Language and Culture Institute at the College of Micronesia.,This title is part of the series of early readers educational resources produced around 2002–2004 by the National Language and Culture Institute at the College of Micronesia.,,Y,NLCI - Pohnpeian - Kedehr Kin Pwang - [level 4],NLCI - Pohnpeian - Kedehr Kin Pwang - [level 4],"PDF created by iREi (2025). Digitized from a hard copy courtesy of the COM-FSM Library, with special thanks to librarian Bruce E. Robert. DSLR-based scanning conducted by Danko Taboroši in Pohnpei from 2015 to 2019.",,,,,,,,,,,,,,,,,,,
1322,Literacy development,Language arts and culture,Narrative readers,Proficient and critical readers,Legends and oral history,,National Language & Culture Institute (NLCI) readers,Narrative reader,Kemisik,,[Monstrous eel],,,,,2004,"Andreas, Seamon","Andreas, Robert",Edited by,"Nabuw, Gloria",Layout by,"Sohl, Damian G.",Program director,"Orlando, Juda",College of Micronesia – FSM,The National Language and Culture Institute,4,Pohnpeian,pon,,,Pohnpei,Pohnpei State,G6,,,,,,Narrative reader created by the National Language and Culture Institute at the College of Micronesia.,This title is part of the series of early readers educational resources produced around 2002–2004 by the National Language and Culture Institute at the College of Micronesia.,,Y,NLCI - Pohnpeian - Kemisik - [level 5],NLCI - Pohnpeian - Kemisik - [level 5],"PDF created by iREi (2025). Digitized from a hard copy courtesy of the COM-FSM Library, with special thanks to librarian Bruce E. Robert. DSLR-based scanning conducted by Danko Taboroši in Pohnpei from 2015 to 2019.",,,,,,,,,,,,,,,,,,,
1323,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Animal stories,,National Language & Culture Institute (NLCI) readers,Narrative reader,Kidi men met,,[This is a dog],,,,,2002,"Nabuw, Gloria","Andreas, Robert",Edited by,"Edgar, Cynthia",Translated by,"Sohl, Damian G.",Program director,,College of Micronesia – FSM,The National Language and Culture Institute,8,Pohnpeian,pon,,,Pohnpei,Pohnpei State,G1,,,,,,Narrative reader created by the National Language and Culture Institute at the College of Micronesia.,This title is part of the series of early readers educational resources produced around 2002–2004 by the National Language and Culture Institute at the College of Micronesia.,,Y,NLCI - Pohnpeian - Kidi Men Met - [level 1],NLCI - Pohnpeian - Kidi Men Met - [level 1],"PDF created by iREi (2025). Digitized from a hard copy courtesy of the COM-FSM Library, with special thanks to librarian Bruce E. Robert. DSLR-based scanning conducted by Danko Taboroši in Pohnpei from 2015 to 2019.",,,,,,,,,,,,,,,,,,,
1324,Literacy development,Language arts and culture,Narrative readers,Developing and fluent readers,Everyday stories,,National Language & Culture Institute (NLCI) readers,Narrative reader,Kisin peneinei ieu,,[A small family],,,,,2002,"Dano, Tammy","Andreas, Robert",Edited by,,,"Sohl, Damian G.",Program director,,College of Micronesia – FSM,The National Language and Culture Institute,4,Pohnpeian,pon,,,Pohnpei,Pohnpei State,G4,,,,,,Narrative reader created by the National Language and Culture Institute at the College of Micronesia.,This title is part of the series of early readers educational resources produced around 2002–2004 by the National Language and Culture Institute at the College of Micronesia.,,Y,NLCI - Pohnpeian - Kisin Peneinei Ieu - [level 4],NLCI - Pohnpeian - Kisin Peneinei Ieu - [level 4],"PDF created by iREi (2025). Digitized from a hard copy courtesy of the COM-FSM Library, with special thanks to librarian Bruce E. Robert. DSLR-based scanning conducted by Danko Taboroši in Pohnpei from 2015 to 2019.",,,,,,,,,,,,,,,,,,,
1325,Literacy development,Language arts and culture,Narrative readers,Developing and fluent readers,Animal stories,,National Language & Culture Institute (NLCI) readers,Narrative reader,Kitik,,[A mouse],,,,,2002,"Eliou, Relihner","Andreas, Robert",Edited by,,,"Sohl, Damian G.",Program director,,College of Micronesia – FSM,The National Language and Culture Institute,3,Pohnpeian,pon,,,Pohnpei,Pohnpei State,G3,,,,,,Narrative reader created by the National Language and Culture Institute at the College of Micronesia.,This title is part of the series of early readers educational resources produced around 2002–2004 by the National Language and Culture Institute at the College of Micronesia.,,Y,NLCI - Pohnpeian - Kitik - [level 3],NLCI - Pohnpeian - Kitik - [level 3],"PDF created by iREi (2025). Digitized from a hard copy courtesy of the COM-FSM Library, with special thanks to librarian Bruce E. Robert. DSLR-based scanning conducted by Danko Taboroši in Pohnpei from 2015 to 2019.",,,,,,,,,,,,,,,,,,,
1326,Literacy development,Language arts and culture,Narrative readers,Proficient and critical readers,Folk tales,,National Language & Culture Institute (NLCI) readers,Narrative reader,Koasoai pen Oun,,[Story about Oun],,,,,2002,"Herman, Meverna","Andreas, Robert",Edited by,,,"Sohl, Damian G.",Program director,,College of Micronesia – FSM,The National Language and Culture Institute,3,Pohnpeian,pon,,,Pohnpei,Pohnpei State,G6,,,,,,Narrative reader created by the National Language and Culture Institute at the College of Micronesia.,This title is part of the series of early readers educational resources produced around 2002–2004 by the National Language and Culture Institute at the College of Micronesia.,,Y,NLCI - Pohnpeian - Koasoai pen Oun [level 6],NLCI - Pohnpeian - Koasoai pen Oun [level 6],"PDF created by iREi (2025) from a hard copy courtesy of the Micronesian Seminar Library, with special thanks to librarian Melba Veloso who located the original and conducted the scanning in Yap in November 2025.",NLCI - Pohnpeian - Koasoai pen Oun [level 6] [alternative scan],NLCI - Pohnpeian - Koasoai pen Oun [level 6] [alternative scan],"PDF created by iREi (2025). Digitized from a mimeographed hard copy courtesy of the COM-FSM Library, with special thanks to librarian Scarlett Lebehn. Scanning conducted by Belinda Welles in Pohnpei in September 2025.",,,,,,,,http://library.comfsm.fm/webopac/titleinfo?k1=3785459&k2=480876,,,,,,,,
1327,Literacy development,Language arts and culture,Narrative readers,Emerging and early readers,Everyday stories,,National Language & Culture Institute (NLCI) readers,Narrative reader,Koasoai-kapat,,[Another story],,,,,2004,"Nabuw, Gloria","Andreas, Robert",Edited by,"Edgar, Cynthia",Translated by,"Sohl, Damian G.",Program director,"Orlando, Juda",College of Micronesia – FSM,The National Language and Culture Institute,10,Pohnpeian,pon,,,Pohnpei,Pohnpei State,G2,,,,,,Narrative reader created by the National Language and Culture Institute at the College of Micronesia.,This title is part of the series of early readers educational resources produced around 2002–2004 by the National Language and Culture Institute at the College of Micronesia.,,Y,NLCI - Pohnpeian - Koasoai-Kapat - [level 3],NLCI - Pohnpeian - Koasoai-Kapat - [level 3],"PDF created by iREi (2025). Digitized from a hard copy courtesy of the COM-FSM Library, with special thanks to librarian Bruce E. Robert. DSLR-based scanning conducted by Danko Taboroši in Pohnpei from 2015 to 2019.",,,,,,,,,,,,,,,,,,,
